Title,Price,Kilometers,Fuel_Type,Transmission
2021 Ford FREESTYLE,₹4.70 lakh,"21,295 km",Petrol,Manual
2017 Honda City,₹5.20 lakh,"69,923 km",Petrol,Missing Transmission
2022 Maruti Grand Vitara,₹7.24 lakh,"72,949 km",Petrol,Manual
2021 KIA SONET,₹5.28 lakh,"71,143 km",Petrol,Manual
2023 Maruti BREZZA,₹7.61 lakh,"56,120 km",Petrol,Missing Transmission
2024 Tata NEXON,₹8.77 lakh,"15,517 km",Petrol,Missing Transmission
2021 Hyundai GRAND I10 NIOS,₹4.40 lakh,"82,280 km",CNG,Manual
2022 Tata PUNCH,₹4.01 lakh,"18,448 km",Petrol,Manual
2022 Maruti BREZZA,₹5.33 lakh,"75,203 km",Petrol,Manual
2016 Mahindra Kuv100,₹2.45 lakh,"22,314 km",CNG,Manual
2022 Hyundai VENUE,₹4.61 lakh,"73,770 km",Petrol,Manual
2020 KIA SONET,₹5.11 lakh,"46,295 km",Petrol,Manual
2014 Ford Figo,₹1.62 lakh,"50,786 km",Petrol,Manual
2016 Hyundai Verna,₹3.51 lakh,"75,369 km",Petrol,Manual
2022 Tata TIGOR,₹4.65 lakh,"42,108 km",CNG,Manual
2017 Hyundai Grand i10,₹2.73 lakh,"39,123 km",Petrol,Manual
2023 Tata ALTROZ,₹5.71 lakh,"81,056 km",CNG,Manual
2022 Maruti Vitara Brezza,₹5.87 lakh,"65,753 km",Petrol,Manual
2021 Hyundai VENUE,₹4.52 lakh,"97,414 km",Petrol,Manual
2023 Hyundai VENUE,₹7.89 lakh,"64,119 km",Petrol,Missing Transmission
2022 Maruti BREZZA,₹8.19 lakh,"46,199 km",Petrol,Missing Transmission
2022 Tata PUNCH,₹4.92 lakh,"55,220 km",CNG,Missing Transmission
2023 Tata ALTROZ,₹4.71 lakh,"35,022 km",Petrol,Manual
2022 Maruti Vitara Brezza,₹6.29 lakh,"47,305 km",Petrol,Missing Transmission
2017 Honda City,₹4.47 lakh,"62,248 km",Petrol,Missing Transmission
2021 KIA SONET,₹5.83 lakh,"51,345 km",Petrol,Missing Transmission
2018 Honda WR-V,₹3.30 lakh,"82,528 km",Petrol,Manual
2024 Tata ALTROZ,₹5.61 lakh,"61,992 km",Petrol,Missing Transmission
2014 Hyundai Grand i10,₹2.20 lakh,"44,971 km",CNG,Missing Transmission
2023 Tata ALTROZ,₹5.90 lakh,"25,655 km",Petrol,Missing Transmission
2021 Hyundai VENUE,₹5.66 lakh,"35,126 km",Petrol,Manual
2022 Tata TIGOR,₹4.05 lakh,"71,249 km",CNG,Manual
2021 Hyundai VENUE,₹5.25 lakh,"50,263 km",Petrol,Manual
2021 Maruti Vitara Brezza,₹4.90 lakh,"22,583 km",Petrol,Manual
2018 Honda Amaze,₹3.88 lakh,"1,13,381 km",CNG,Missing Transmission
2013 Honda Amaze,₹1.56 lakh,"65,988 km",Petrol,Manual
2015 Honda Amaze,₹1.78 lakh,"68,910 km",Petrol,Manual
2022 Hyundai NEW I20,₹5.75 lakh,"41,825 km",Petrol,Missing Transmission
2014 Hyundai Grand i10,₹1.95 lakh,"81,613 km",Petrol,Manual
2021 Maruti S Cross,₹5.80 lakh,"2,145 km",Petrol,Manual
2024 Mahindra XUV 3XO,₹9.23 lakh,"21,293 km",Petrol,Manual
2019 Hyundai i20 Active,₹4.40 lakh,"53,069 km",Petrol,Manual
2023 MG ASTOR,₹6.12 lakh,"54,682 km",Petrol,Manual
2015 Hyundai Grand i10,₹1.72 lakh,"1,04,808 km",Petrol,Manual
2024 Tata ALTROZ,₹5.74 lakh,"40,033 km",Petrol,Missing Transmission
2016 Honda Amaze,₹2.16 lakh,"82,679 km",Petrol,Manual
2017 Honda Amaze,₹2.28 lakh,"86,219 km",Petrol,Manual
2021 Hyundai GRAND I10 NIOS,₹4.46 lakh,"27,300 km",Petrol,Missing Transmission
2023 Hyundai AURA,₹5.45 lakh,"42,759 km",CNG,Manual
2014 Honda Brio,₹2.15 lakh,"40,556 km",CNG,Missing Transmission
2022 Hyundai AURA,₹4.70 lakh,"89,601 km",CNG,Manual
2019 Hyundai Verna,₹6.54 lakh,"81,425 km",Petrol,Missing Transmission
2022 Honda City,₹8.15 lakh,"66,297 km",Petrol,Manual
2023 Honda ELEVATE,₹11.30 lakh,"44,725 km",Petrol,Missing Transmission
2024 Tata Curvv,₹9.73 lakh,"50,236 km",Petrol,Manual
2023 Tata Harrier,₹9.04 lakh,"81,434 km",Diesel,Manual
2023 Tata Safari,₹12.80 lakh,"58,699 km",Diesel,Missing Transmission
2019 Honda Amaze,₹3.88 lakh,"32,313 km",Petrol,Missing Transmission
2024 Hyundai AURA,₹4.31 lakh,"36,131 km",Petrol,Manual
2024 MG ASTOR,₹7.70 lakh,"21,318 km",Petrol,Manual
2019 Honda Civic,₹7.52 lakh,"73,004 km",Petrol,Missing Transmission
2020 KIA SONET,₹6.90 lakh,"87,545 km",Petrol,Missing Transmission
2024 Tata Curvv,₹10.95 lakh,"29,193 km",Petrol,Missing Transmission
2020 Honda Amaze,₹4.01 lakh,"39,472 km",Petrol,Manual
2022 Hyundai NEW I20,₹5.50 lakh,"1,21,970 km",Petrol,Missing Transmission
2024 Hyundai EXTER,₹6.88 lakh,"4,362 km",Petrol,Missing Transmission
2023 Honda Amaze,₹5.93 lakh,"12,829 km",CNG,Missing Transmission
2023 Hyundai EXTER,₹6.15 lakh,"26,114 km",Petrol,Missing Transmission
2021 KIA SONET,₹6.12 lakh,"34,841 km",Petrol,Missing Transmission
2024 MG ASTOR,₹9.49 lakh,"24,466 km",Petrol,Missing Transmission
2018 Honda Amaze,₹4.17 lakh,"38,726 km",Petrol,Missing Transmission
2024 MG ASTOR,₹8.26 lakh,"49,289 km",Petrol,Missing Transmission
2022 MG ASTOR,₹8.63 lakh,"22,658 km",Petrol,Missing Transmission
2024 Tata Curvv,₹11.44 lakh,"7,134 km",Diesel,Manual
2024 Honda ELEVATE,₹12.47 lakh,"5,279 km",Petrol,Missing Transmission
2019 Honda Amaze,₹4.55 lakh,"56,907 km",Petrol,Missing Transmission
2019 Hyundai Creta,₹7.42 lakh,"58,139 km",Petrol,Missing Transmission
