Fuel_Type,Transmission,Clean_Price,Clean_Kilometers,Year,Brand,Model
CNG,Missing Transmission,215000,40556,2014,Honda,Brio
CNG,Manual,470000,89601,2022,Hyundai,AURA
Petrol,Missing Transmission,654000,81425,2019,Hyundai,Verna
Petrol,Manual,815000,66297,2022,Honda,City
Petrol,Missing Transmission,1130000,44725,2023,Honda,ELEVATE
Petrol,Manual,973000,50236,2024,Tata,Curvv
Diesel,Manual,903999,81434,2023,Tata,Harrier
Diesel,Missing Transmission,1280000,58699,2023,Tata,Safari
Petrol,Missing Transmission,388000,32313,2019,Honda,Amaze
Petrol,Manual,430999,36131,2024,Hyundai,AURA
Petrol,Manual,770000,21318,2024,MG,ASTOR
Petrol,Missing Transmission,752000,73004,2019,Honda,Civic
Petrol,Missing Transmission,690000,87545,2020,KIA,SONET
Petrol,Missing Transmission,1095000,29193,2024,Tata,Curvv
Petrol,Manual,401000,39472,2020,Honda,Amaze
Petrol,Missing Transmission,550000,121970,2022,Hyundai,NEW I20
Petrol,Missing Transmission,688000,4362,2024,Hyundai,EXTER
CNG,Missing Transmission,593000,12829,2023,Honda,Amaze
Petrol,Missing Transmission,615000,26114,2023,Hyundai,EXTER
Petrol,Missing Transmission,612000,34841,2021,KIA,SONET
Petrol,Missing Transmission,949000,24466,2024,MG,ASTOR
Petrol,Missing Transmission,417000,38726,2018,Honda,Amaze
Petrol,Missing Transmission,826000,49289,2024,MG,ASTOR
Petrol,Missing Transmission,863000,22658,2022,MG,ASTOR
Diesel,Manual,1144000,7134,2024,Tata,Curvv
Petrol,Missing Transmission,1247000,5279,2024,Honda,ELEVATE
Petrol,Missing Transmission,455000,56907,2019,Honda,Amaze
Petrol,Missing Transmission,742000,58139,2019,Hyundai,Creta
Petrol,Manual,285000,76929,2015,Hyundai,i20 Active
Petrol,Manual,484999,57612,2018,Maruti,Ciaz
Petrol,Manual,130000,87845,2012,Maruti,Swift
Diesel,Manual,262000,71473,2017,Mahindra,TUV300
Petrol,Manual,147000,75080,2016,Datsun,Redi Go
Petrol,Manual,148000,56653,2013,Maruti,Alto 800
Petrol,Manual,215000,87596,2013,Maruti,Ertiga
Petrol,Manual,193000,57084,2013,Maruti,Swift
CNG,Manual,170000,85453,2015,Maruti,Wagon R 1.0
Petrol,Manual,112999,83288,2014,Hyundai,Eon
CNG,Manual,170000,73687,2013,Maruti,Wagon R 1.0
Petrol,Manual,135000,95840,2013,Maruti,Alto K10
CNG,Manual,170000,56374,2017,Maruti,Alto 800
Petrol,Missing Transmission,531000,67199,2020,Maruti,Swift
Petrol,Manual,250000,76466,2014,Honda,Amaze
Petrol,Missing Transmission,125000,80000,2013,Hyundai,i10
CNG,Manual,137000,80823,2013,Hyundai,i10
Petrol,Manual,208000,20274,2016,Maruti,Alto 800
CNG,Manual,175000,132475,2014,Maruti,Wagon R 1.0
CNG,Manual,183000,164369,2014,Maruti,Wagon R 1.0
Petrol,Missing Transmission,215000,75295,2014,Maruti,Celerio
Petrol,Manual,190000,88042,2013,Honda,City
Diesel,Manual,547000,48588,2018,Mahindra,XUV500
Petrol,Manual,160000,51048,2016,Mahindra,Kuv100
Diesel,Manual,260000,155606,2017,Ford,Ecosport
CNG,Manual,550000,28181,2025,Maruti,New Wagon-R
Diesel,Manual,281000,64960,2018,Ford,Figo Aspire
Petrol,Manual,459999,73696,2020,Maruti,Baleno
Petrol,Manual,440000,62559,2020,Maruti,Baleno
Petrol,Missing Transmission,260000,55064,2014,Maruti,Celerio
Petrol,Manual,509999,97627,2018,Maruti,Ertiga
Diesel,Manual,407000,120130,2017,Tata,Hexa
Petrol,Manual,210000,46754,2013,Ford,Ecosport
Petrol,Manual,520000,11512,2023,Tata,TIGOR
Petrol,Manual,390000,84047,2019,Maruti,Dzire
Petrol,Missing Transmission,490000,105975,2019,Honda,Amaze
CNG,Manual,335000,96199,2015,Hyundai,Verna
Petrol,Manual,472000,76731,2019,Tata,NEXON
Petrol,Missing Transmission,450000,47840,2018,Maruti,Swift
Diesel,Manual,210000,71869,2016,Ford,New Figo
Petrol,Manual,305000,82492,2014,Honda,City
Petrol,Manual,295000,17658,2017,Maruti,Wagon R 1.0
CNG,Missing Transmission,360000,72960,2019,Tata,NEXON
CNG,Manual,356000,64230,2017,Ford,Ecosport
Petrol,Manual,595000,45490,2017,Hyundai,Verna
Diesel,Missing Transmission,400000,133124,2018,Tata,NEXON
Diesel,Manual,459999,59616,2017,Maruti,S Cross
CNG,Manual,475000,73347,2022,Tata,Tiago
Petrol,Manual,330000,59054,2018,Maruti,Baleno
CNG,Manual,295000,118767,2017,Maruti,Baleno
Petrol,Manual,450000,47470,2018,Maruti,Baleno
Petrol,Manual,380000,35129,2019,Maruti,Baleno
Petrol,Manual,450000,58937,2017,Hyundai,Elite i20
Petrol,Manual,185000,60298,2015,Honda,Brio
Petrol,Manual,438000,65000,2021,Maruti,Swift
Petrol,Manual,355000,37720,2019,Honda,WR-V
Petrol,Manual,552000,50446,2023,Maruti,Swift
